	description	type	site	secteur	nbemploye	fondation	specialisation
18	The African Development Bank (AfDB) Group’s mission is to help reduce poverty, improve living conditions for Africans and mobilize resources for the continent’s economic and social development. With this objective in mind, the institution aims at assisting African countries – individually and collectively - in their efforts to achieve sustainable economic development and social progress. Combating poverty is at the heart of the continent’s efforts to attain sustainable economic growth. To this end, the Bank seeks to stimulate and mobilize internal and external resources to promote investments as well as provide its regional member countries with technical and financial assistance.	Administration publique	http://www.afdb.org	Commerce et développement international	1 001-5 000 employés	1964	0.0
19	"LEONI is a global provider of products, solutions and services for energy and data management in the automotive sector and other industries.

The value chain encompasses wires, optical fibers, standardised cables, special cables and assembled systems as well as intelligent products and smart services. 

As an innovation partner and solutions provider, LEONI supports its customers with pronounced development and systems expertise. 

The group of companies, which is listed on the German MDAX, employs more than 95,000 people in 32 countries and generated consolidated sales of EUR 5.1 billion in 2018.

------------------------------------------ Overview ------------------------------------------ 
Foundation: 1917

Employees: more than 95,000 in 32 countries

Turnover 5.1 bn. € (2018)

Stock exchange listing: MDAX

Our motto:
LEONI – The Quality Connection

------------------------------------------ Imprint------------------------------------------ 

Board of Directors
Aldo Kamper (President & CEO), Bruno Fankhauser, Ingrid Jägering, Martin Stüttem

Chairman of the Supervisory Board
Dr.-Ing. Klaus Probst

Registered office and registry court
Nuremberg

Commercial register number
HRB 202

Value added tax identification number acc. to § 27 a German Turnover Tax Law (UStG)
DE 133500751

Responsible for the contents acc. to § 55 (2) German Interstate Broadcasting Agreement (RStV)
Sven Schmidt 
Corporate Communications 
Phone +49 911 2023-467 
Fax +49 911 2023-231

LEONI AG
Marienstraße 7
90402 Nuremberg
Germany"	Société cotée en bourse	http://www.leoni.com	Industrie composants électriques/électroniques	10 001 employés et plus	1917	Wiring systems, Automotive cables, Electrical Appliances et Electrical Cables
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	"be-softilys Tunisie est une nouvelle structure du groupe be-ys spécialisée dans le métier de l’édition et qui se focalise sur l’industrialisation des développements logiciel conformément aux méthodologies les plus reconnues comme l’agilité/Scrum/Safe® et les technologies les plus innovantes permettant de garantir des solutions futuristes et performantes.
Au cœur de la transformation digitale et de la gouvernance de données, be-softilys réalise des produits innovants pour répondre aux nouvelles exigences européennes autours du RGPD et offrant des solutions pour la confiance numérique et la gestion de données sensibles."	Tunis, Tunis	https://www.be-softilys.com/	Logiciels informatiques	51-200 employés	Entreprise individuelle	2017
23	"Pourquoi LBC ?
Aujourd’hui, les formes de travail se multiplient et le monde de l’emploi évolue rapidement. Au sein de LittleBIG Connection, nous avons l’ambition partagée de transformer durablement un secteur qui est en pleine révolution ! Notre mission est de repenser le consulting afin de l’adapter aux enjeux métiers de demain. En simple, nous questionnons et préparons le futur du travail.
 
Notre solution ?
Une plateforme SaaS d’achats de prestation qui permet la mise en relation simple, efficace et transparente entre clients grands comptes et prestataires de service dans le monde du conseil 
Fondée en 2013, LittleBIG Connection est une aventure entrepreneuriale qui se joue sur différents continents, tout en conservant les valeurs, les ambitions, et les challenges communs qui nous habitent. 
 
Aujourd’hui, forts d’une croissance à trois chiffres et d’un effectif doublé chaque année, nous continuons notre expansion nationale et internationale (Asie, Amérique etc.). Plusieurs projets s’offrent donc à vous et pour lesquels nous recrutons dans chacun de nos pôles."	Société de personnes (associés)	https://www.littlebigconnection.com	Logiciels informatiques	11-50 employés	Rationalisation des achats, Experts IT et Ingénierie, Marketplace, Décloisonnement du secteur du conseil, Uberisation, Réduction des coûts, Pacte PME, Aide au référencement des petits prestataires, Plateforme de pilotage, Source to Pay et d'e-Procurement	0.0
24	"IP-Tech is an IT service provider specialized in offshore projects. It was founded by two senior technology specialists who worked in the French market for around ten years each where they developed an expertise in both state-of-the-art software technologies and business management standards.

IP-Tech founders are fully committed to the upholding of Business’s values and ethics: listening, commitment, quality, and advice’s duty.

Technical expertise:
==============

1. Microsoft .NET Framework
IP-TECH certified engineers provide a high quality expertise in Microsoft .NET technologies. We have also relevant experience with related libraries and packages such as: Unity, Infragistics, SCSF, CAB, MVC Framework, MyGeneration, SharePoint, etc.

2. Java/J2EE
Deep understanding and perfect control of the Java environment and related frameworks: Struts 1 & 2, Spring, Hibernate, Open Symphony Workflow, ACEGI & LDAP, JMS, Alfresco, etc.

3. C/C++
For server-side applications and batch processing, our engineers are fluent in the following C/C++ technologies: ATL, COM/DCOM, XML_RPC, Corba, STL, Boost, MFC, etc.

4. IBM Portals & BRMS
IBM WebSphere Application Server, IBM WebSphere ESB, ILOG/JRULES, IBM Rational Jazz, IBM SmartCloud, DB2.

5. Quality assurance.
Our experience with software publishers made us familiar with development standards and best practices, packaging (applications and fixes installers) and Licensing management (One key customized licensing, writing key generators, key encryption, silent and interactive key generation)."	Charguia 2, Tunis	http://www.iptech-group.com/	Technologies et services de l’information	51-200 employés	Société civile/Société commerciale/Autres types de sociétés	2007
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	"MTC Consulting is a leading strategy and management consulting firm serving privately owned groups as well as public and non-profit institutions in the MENA region since 1995. Based in London, Amman, Cairo, Tripoli and Tunis, MTC covers the Middle East and North Africa region, offering to clients a customized world class strategy consulting services, with deep knowledge of the region's dynamics, done by experts who have a large experience with most of international institutions and top of Fortune 500 companies.

At MTC, we firmly believe that human and social global development is not achievable without a strong, competitive and sustainable public and private sectors. Since the last two decades, we are supporting the private companies of the region to join the top performers in their industry and contribute to the establishment of development programs rooted in the local realities and driving long term value creation. We are deeply involved in building and disseminate region-specific knowledge at the international level through our commitments to the World Economic Forum and publications in Harvard University and Oxford University Press."	Monde, Monde	http://www.mtc-consulting.co.uk	Conseil en management	2-10 employés	Société de personnes (associés)	1996
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	"Welcome to Euler Hermes. We are the global leader in trade credit insurance and a recognised specialist in the areas of surety, collections, structured trade credit and political risk. Our proprietary intelligence network means we track and analyse companies in markets representing 92% of the world's GDP. 

Our unique knowledge of companies, industries and countries will help businesses choose the right customers and the right markets to avoid bad debt in the first place. But, when the unexpected does arrive, they can be confident they’re protected. We are endorsed by Allianz, the world’s largest insurance company; this means we have the resources to provide compensation to maintain their business.

Multinational businesses and financial institutions can benefit from our expert team, World Agency. With dedicated focus and expertise in this segment, we’ve proven to be a reliable and sustainable provider of credit risk management solutions for businesses operating globally. We offer a wide range of products including: World Program, Transactional Cover and Excess of Loss.

Our passion is to give companies of all sizes the confidence to trade and get paid, so they can move their business forward, whatever their goal. 

Headquartered in Paris, we are present in 52 countries with more than 6,000 employees.

At Euler Hermes, we believe a high level of employee engagement and motivation leads to superior business results and customer satisfaction. We offer:
- Talent management, including high potential programs
- Global mobility within Euler Hermes and Allianz
- Learning and development within the Euler Hermes Academy

Let’s take control of tomorrow, together.

For further information visit eulerhermes.com or follow us on LinkedIn and Twitter @eulerhermes."	Société cotée en bourse	http://www.eulerhermes.com	Assurances	5 001-10 000 employés	1893	Trade credit insurance, Credit insurance, Debt collections, Bonding, Risk management, Account receivables, Risk monitoring, Fraud Cover, Innovation, Protect cash flow, Tomorrow, Predictive, Security, Confidence, Knowledge, Financial strength, Surety, Trade and get paid, Invoices, Commitment, Partnership et Credit limits
33	"Fondé en 2010 sous l’impulsion de Dassault Systèmes, Outscale délivre aux entreprises les plus hauts standards de performance et de qualité en matière de services Cloud.

La technologie Outscale met à disposition des entreprises un Cloud automatisé et évolutif, qui accompagne les projets informatiques les plus complexes, tout en maîtrisant leurs coûts opérationnels. Les entreprises reprennent la main sur la gestion de leur IT et de leur métier.

La maîtrise de son logiciel propriétaire TINA OS par ses équipes, lui permet de piloter et d’automatiser une infrastructure Cloud tout en répondant aux standards du marché. Développé sur des briques Open Source, le logiciel est compatible avec le service Amazon EC2.

Outscale assure la puissance et la disponibilité des ressources en temps réel dans le Cloud et la sécurisation des données. Sa présence dans les meilleurs centres de données en Europe, aux Etats-Unis et en Asie, lui permet d’opérer les ressources informatiques de ses clients dans le monde entier.

Le Cloud Expert d’Outscale délivre les infrastructures d’hébergement, de stockage et de calcul les plus aboutis du marché avec le support de partenaires technologiques de renom tels que que Cisco, NetApp ou Intel."	Société civile/Société commerciale/Autres types de sociétés	https://www.outscale.com	Technologies et services de l’information	51-200 employés	2010	Cloud Computing, IaaS et Cloud
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	 Cloud Temple est au service des entreprises qui veulent se débarrasser de l’informatique classique et des pannes récurrentes de leurs serveurs critiques pour bénéficier des avantages du Cloud privé et public. De l’intégration à l’infogérance, vous pouvez tout confier à nos experts 24/7 et libérer 87% du temps de votre DSI pour que votre informatique soit au service de vos métiers. Exerçant en France depuis plus de 20 ans et en Tunisie depuis 4 ans, plusieurs références ont choisi la sécurité d’héberger leurs données sur nos plateformes déployées sur des Datacenters aux normes internationales en France et en Tunisie. 	Société civile/Société commerciale/Autres types de sociétés	http://www.cloud-temple.tn/	Services d’information	11-50 employés	2014	Cloud Computing, Infogérance, Hébergement SI critique, Transformation numérique, Conseil et Modernisation de SI, Consulting et Intégration
36	"Créé en 2004, LOGIDAS éditeur d’ERP en TUNISIE développe des logiciels de gestion destinés aux PME et PMI.

LOGIDAS a pour mission d’accompagner votre entreprise vers l’excellence en répondant à vos besoins depuis l’élucidation des processus jusqu’à la planification et la gestion de toutes vos ressources : hommes, produits, moyens et finance.

LOGIDAS est centré sur les besoins de PME et PMI en matière de :

Gestion des ressources humaines
Gestion de la production et de la chaîne logistique
Gestion des moyens et des équipements industriels
Gestion comptable et financière

Nos solutions DAS :

DAS ERP en mode Licence ou en mode Cloud

- DAS HR : Progiciel de gestion des ressources humaines.
- DAS PROD : Progiciel de gestion de production et de logistique.
- DAS MES: Progiciel de gestion des ateliers de production en temps réel.
- DAS MS: Progiciel de gestion des équipements"	Société civile/Société commerciale/Autres types de sociétés	http://www.logidas.com	Logiciels informatiques	11-50 employés	2004	0.0
37	"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. Our mission is grounded in both the world in which we live and the future we strive to create. Today, we live in a mobile-first, cloud-first world, and the transformation we are driving across our businesses is designed to enable Microsoft and our customers to thrive in this world. 

We do business in 170 countries and are made up of 144,000 passionate employees dedicated to fulfilling our mission of helping you and your organization achieve more."	Redmond, WA	https://news.microsoft.com/	Logiciels informatiques	10 001 employés et plus	Société cotée en bourse	1975
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	"Europcar is a leader in car rental services worldwide, with rental locations in over 140 countries. Based in Europe, the company provides its customers access to the world's largest vehicle rental network through its own operations, franchisees and partnerships. 

Europcar is proud to have 6,500 employees dedicated to delivering great customer experience, and it is committed to creating a safe, engaging work environment to nuture their professional growth. With an average fleet of 190,000 vehicles, Europcar also recognizes the importance of fulfilling its corporate citizenship responsibilities.

Winner of the first World Travel Award recognizing the World's Leading Green Transport Solutions Company, Europcar has been honored with the Award every year since 2010.

Europcar is the core brand of Europcar Mobility Group, a leading player in the mobility sector. Europcar Mobility Group shares (EUCAR) are listed on the Euronext Paris stock exchange."	Société civile/Société commerciale/Autres types de sociétés	http://www.europcar.com	Loisirs, voyages et tourisme	5 001-10 000 employés	Car Rental, Mobility, Vans rental et Mobility Services	0.0
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	SiFAST, un des leaders du nearshore Francophone, délivre des services IT qui permettent à ses clients d’améliorer leur efficacité et leur rentabilité. Grace à sa maîtrise des nouvelles technologies, son expérience de l’externalisation et son approche collaborative, SiFAST aide ses clients à développer des solutions innovantes pour répondre à leurs enjeux.	Société civile/Société commerciale/Autres types de sociétés	http://www.sifast.com	Logiciels informatiques	11-50 employés	2011	0.0
42	"EDECISION est une société créée en 2007 par 3 ingénieurs aux parcours complémentaires. Au fil des années nous avons forgé un savoir faire et des compétences dédiés au conseil et à la réalisation d'application Web et Mobile.

Notre équipe de 15 consultants est à votre écoute pour vous apporter le meilleur d'eux même et sont au service de votre stratégie et de votre compétitivité.

Avec un large éventail de compétences, EDECISION est préparée pour la création d'applications riches pour l'ensemble des canaux digitaux (sites web, applications pour iPhone, Android, BlackBerry, WebApp, tablettes, ...)

De l’assistance à la maîtrise d’ouvrage (cahier des charges, architectures techniques,…) jusqu’à la maîtrise d’œuvre (ingénieurs opérationnels,…) EDECISION vous accompagne, vous conseille dans tous vos projets.

EDECISION est aussi le partenaire de choix des agences de communication : notre relation est particulière et elle mérite donc un traitement privilégié, c’est pour cela que nous vous accompagnons aussi dans vos compétitions et dans vos démarches en avant-vente …"	Société civile/Société commerciale/Autres types de sociétés	http://www.edecision.fr	Internet	11-50 employés	2007	0.0
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	"Karismatik accompagne ses clients dans leur transformation digitale et propose des compétences IT (PHP, Drupal, Symfony, écosystème JS,..) en assistance technique (régie) et également au forfait

Clients : RATP - FranceTV - SQLI - Carrefour - Chaumet - Smile - Ausy - Sodexo -Fullsix - Maison du convertible - DDB - Babel - TBWA"	Société civile/Société commerciale/Autres types de sociétés	http://www.agencekarismatik.com	Internet	51-200 employés	2008	Website Development, eCommerce websites, Digital Consultancy, Intranets Development, Extranets Development, Mobile Apps Development, Business Specific Applications Development, symfony, Drupal, React, VueJS, Angular, Node, Node, PHP, Javascript et Magento
45	"Orange est l'un des principaux opérateurs de télécommunications dans le monde, avec un chiffre d'affaires de 41 milliards d'euros en 2018 et 148 000 salariés au 30 juin 2019, dont 89 000 en France. Le Groupe servait 266 millions de clients dans le monde au 30 juin 2019, dont 207 millions de clients mobile et 20 millions de clients haut débit fixe. 

Le Groupe est présent dans 27 pays. Orange est également l'un des leaders mondiaux des services de télécommunications aux entreprises multinationales sous la marque Orange Business Services. En mars 2015, le Groupe a présenté son nouveau plan stratégique « Essentiels2020 » qui place l'expérience de ses clients au cœur de sa stratégie, afin que ceux-ci puissent bénéficier pleinement du monde numérique et de la puissance de ses réseaux très haut débit."	Société cotée en bourse	http://www.orange.com	Télécommunications	10 001 employés et plus	1988	Digital, telecommunications, fixed, mobile and Internet, networks, Moblie payment, IT, IA et Bank
46	"T-Systems France, du groupe Deutsche Telekom, offre des Solutions d’Infrastructure informatique pour accompagner les grandes entreprises dans leur transformation numérique.

Avec 3 domaines d’expertise : l’hébergement et infogérance, les réseaux et les environnements de travail, nos offres répondent à l’intégralité des besoins des entreprises.

T-Systems est spécialiste dans la gestion des systèmes Cloud complexes et propose tous les types de cloud : privé, public, hybride, ainsi que les outils d’orchestration et de brokerage de solutions cloud. Nous nous positionnons comme des outsourcers de systèmes d’informations d’entreprises et disposons de l’infrastructure Cloud la plus complète du marché.

T-Systems c’est aussi :
• le plus grand cloud SAP au monde avec plus de 60 millions de SAPS (SAP Application Performance Standard) et plus de 6,7 millions d’utilisateurs.

• l’infrastructure cloud la plus complète du marché (20 Datacenters Twin Core, 140 000 M² de Datacenters et 86 000 Sites connectés)

• une capacité de delivery globale (Infrastructures en EUROPE, Asie et Amérique), plus de 2300 Agents Helpdesk en 28 langues et 10 500 spécialistes de la transformation des SI

• un Cloud ultra sécurisé avec des données hébergées et opérées en Europe, et une disponibilité constatée de 99,9997%"	Rueil-Malmaison, Île-de-France	http://www.t-systems.fr	Technologies et services de l’information	10 001 employés et plus	Société cotée en bourse	SAP, SAP HANA, Cloud , Cloud Public, Cloud Privé, Cloud Hybride, Cybersécurité, Télécom, Digital Workplace, Infrastructure Réseaux, Sécurité informatique, Outsourcing, Digitalisation, Transformation numérique, Automotive et Cloud Computing
47	0.0	0.0	0.0	11-50 employés	"571 sur LinkedIn
Inclut des membres avec IMT comme employeur actuel, y compris les postes à temps partiel."	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	"Valomnia, est une filiale de Proxym Group fondé en 2006. Avec ses différentes entités (Proxym France, Proxym-IT, Proxym Middle East, Chifco et Calys-IT) basée en France, au Royaume Uni, au Moyen Orient et en Tunisie.

Valomnia vous aide à optimiser vos ventes et à maitriser vos circuits de distribution grâce à une suite d’applications Sales, Delivery et Store qui s’appuient sur la mobilitè, le Cloud et le Big Data et qui se différencient des ERP par leur orientation métier et leur simplicité de mise en place.

Les solutions Valomnia sont pré-intégrées avec les principaux ERP du marché: Oracle, SAP, Sage, etc.."	Société civile/Société commerciale/Autres types de sociétés	http://valomnia.com	Technologies et services de l’information	51-200 employés	2010	0.0
50	"BeanAir is a German innovative company specialized in design and manufacture of Wireless Sensor Network for harsh industrial environment. Our wireless technology is based on IEEE 802.15.4, GSM/GPRS and GPS. 

Our company is present on the following markets:

Embedded Measurement (train, plane, and car)
Process Industry (quality production control, predictive maintenance, vibration analysis ...)
Remote management applied to solar panels and wind energy farms
Environment Monitoring (waste processing, water management, food processing, agriculture…)
Technical Building Management (Measurement field within energy efficiency)
 

BeanAir offers a wide range of COTS (Components off the Shelf) Wireless Sensor Network: acceleration, vibration, Tilt monitoring, force, pressure, temperature, shock, voltage and current.

Our Wireless Sensor Network (WSN) is a combination of ultra-low power wireless network & high accuracy sensor. We build very complex wireless sensors requiring a custom-tailored sensor packaging.
We provide to our customers high-end turnkey products integrating sensors, wireless network and software monitoring application with an OPC interface (OLE for Process Control).

We work with well-known international customers: EDF, GDF, SNECMA, ADP, SNCF, Saint-Gobain, Ministry of Defense, Dassault, Ineo Suez and more by established business partnerships with system integrators and business sales representatives."	Cergy, Ile de France	http://www.beanair.com	Technologies sans fil	51-200 employés	Société de personnes (associés)	Wireless Sensor Networks, Electrical & Electronics Manufacturing, Technology, Embedded Measurement, Process Industry, Remote Management Applied to Solar Panels and Wind Energy Firms, Environment Monitoring et Technical Building Management
51	"""Waging Peace. Fighting Disease. Building Hope.""

A not-for-profit, nongovernmental organization, The Carter Center has helped to improve life for people in over 80 countries by resolving conflicts; advancing democracy, human rights, and economic opportunity; preventing diseases; and improving mental health care. The Carter Center was founded in 1982 by former U.S. President Jimmy Carter and former First Lady Rosalynn Carter, in partnership with Emory University, to advance peace and health worldwide.

• Visit our Website CarterCenter.org
• Follow us on Twitter @CarterCenter 
• Like us on Facebook.com/CarterCenter
• Follow us on Instagram @TheCarterCenter 
• Watch us on YouTube YouTube.com/CarterCenter
• Follow us on Pinterest.com/TheCarterCenter 
• Add us to your circle on Google+ http://google.com/+CarterCenter
• Subscribe to email CarterCenter.org/subscribe"	Atlanta, GA	http://www.cartercenter.org	Gestion des associations et fondations	51-200 employés	Non lucratif	1982
52	"AMIDEAST (www.amideast.org/) is a leading U.S. nonprofit organization engaged in international education, training and development in the Middle East and North Africa. Founded in 1951, it is dedicated to expanding opportunity through education and training while strengthening mutual understanding and cooperation between Americans and the peoples of the Middle East and North Africa.

Headquartered in Washington, DC, AMIDEAST operates a network of field and project offices in Egypt, Iraq, Jordan, Kuwait, Lebanon, Morocco, Saudi Arabia, Tunisia, United Arab Emirates, West Bank/Gaza, and Yemen.

In 2016, AMIDEAST provided English language and professional skills training to 58,000 students and professionals; provided information on U.S. study to 87,000 individuals; administered nearly 200,000 computer-, paper-, and Internet-based tests; and supported scholarship and exchange programs for more than 1,700 individuals."	Washington, DC	http://www.amideast.org	Administration scolaire et universitaire	501-1 000 employés	Non lucratif	1951
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	"We are a team of  Experts helping clients worldwide in developing websites and mobile apps. We are based in Tunisia. 

Our core expertise is with Core PHP,ios,Android Wp, WordPress, Symfony HTML5, OSCommerce,etc technologies. So far, we have done more than 30 promising projects that has helped us in creating expertise in developing web based apps, ecommerce/shopping cart websites, mobile  based apps, subscription based apps etc 

We do have in-house capabilities to build mobile & tablets hybrid applications for iOS ,Android and Windows phone."	Société cotée en bourse	http://sifo-consulting.com/	Technologies et services de l’information	11-50 employés	2015	Developpement web et mobile, Ios, Android, symfony , wp ... et information Technology and Services
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	"Steps support buisness and public organizations by unique process of promoting organization cultur and leadership and minimizing the knowing/learning - doing gaps.
Our diverse experience performing and managing applied projects and models stretches through out many fields in life companies by using our whole system approach."	Société civile/Société commerciale/Autres types de sociétés	http://www.ridethemind.com	Conseil en management	2-10 employés	2006	Cultural transformation, change management, leadership development, talents management ,organizational learning
58	"""We want to make you feel good to look good""

Esprit is an international fashion brand that represents style and quality since 1968. Founded in San Francisco by Susie and Doug Tompkins, Esprit works on a basis of creativity and responsibility, fused with a sunny Californian attitude.

Effortless style, authenticity and easy-going living are at the heart of the brand’s philosophy. These positive values shine through at every level, from the laid-back tailoring to the made-to-last quality, use of natural materials and responsible production. Esprit's aspiration is to be the best casual fashion brand with an outstanding price-value proposition: Capturing market trends and newness in color, quality fabrics and shapes, and expressing them in the effortless, relaxed and comfortable Esprit style. For every garment, Esprit pays maximum attention to fabric selection, fitting and perfect quality. The company's ""esprit de corps"" reflects a positive and caring attitude towards life that celebrates real people and togetherness according to the brand promise: ""We want to make you feel good to look good"".

Esprit has a presence in over 40 countries with approximately 900 directly managed retail stores and over 7,800 wholesale points of sale, including franchise stores and sales spaces in department stores, who share the company’s quality standards and brand essence, with inspiring collections for women, men and kids. The Group markets its products under two brands, namely the Esprit brand and the edc brand. Listed on the Hong Kong Stock Exchange since 1993, Esprit has headquarters in Germany and Hong Kong.

You are welcome to get a deeper insight into Esprit at http://www.esprit.com or follow us on Facebook, YouTube and Pinterest. You can also visit our e-shop.

Want to join us? Visit http://www.esprit.com/careers to discover our career opportunities, trainee programs and apprenticeships.

 

Impressum: http://www.esprit.com/imprint"	Société cotée en bourse	http://www.esprit.com/	Confection et mode	10 001 employés et plus	1968	Fashion, Lifestyle, Design, Accessories, Trends, Mode, Bekleidung, Textil, Einzelhandel, Wholesale, Retail, Licensing et Omnichannel
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0
