	description	type	site	secteur	nbemploye	fondation	specialisation
642	Health Insurance simple and easy !	Tunis, Les Berges du Lac	http://www.dqlick.com	Logiciels informatiques	11-50 employés	Société de personnes (associés)	2018
643	0.0	0.0	0.0	0.0	0.0	0.0	0.0
644	"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la défense.
Implanté sur tous les continents, le Groupe emploie plus de 92 000 collaborateurs pour un chiffre d'affaires de 21 milliards d'euros en 2018.
Safran occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Pour répondre à l'évolution des marchés, le Groupe s'engage dans des programmes de recherche et développement qui ont représenté en 2018 des dépenses d'environ 1,5 milliard d'euros."	Société cotée en bourse	http://www.safran-group.com/	Aéronautique et aérospatiale	10 001 employés et plus	2005	Aerospace, Defence, engineering, Optronics, Jet Engines, Helicopter engines, Rocket engines, Safety-critical softwares, Inertial guidance, Propulsion systems et Aerosystems
645	0.0	0.0	0.0	0.0	0.0	0.0	0.0
646	"EDF, électricien performant et responsable, champion de la croissance bas carbone est un des leaders sur le marché de l’énergie en Europe. EDF est présent sur l’ensemble des métiers : la production, le transport, la distribution, le négoce et la vente d’énergies.

Premier producteur d’électricité en Europe, le Groupe dispose en France de moyens de production essentiellement nucléaires et hydrauliques fournissant à 87% une électricité sans émission de CO2.
Le Groupe participe à la fourniture d’énergies et de services à près de 28 millions de clients en France.

Par la qualité de ses équipes, ses capacités de R&D, son savoir-faire d'ingénierie et d'exploitation d'unités de production et de réseaux, par ses offres d'efficacité énergétique, il apporte des solutions compétitives pour concilier durablement développement économique et protection du climat."	Paris, France	https://www.edf.fr/edf-recrute	Pétrole et énergie	10 001 employés et plus	Société cotée en bourse	Energie, Nucléaire, Electricité, Energies renouvelables et Gaz
647	"About Technicolor
Technicolor, a worldwide technology leader in the media and entertainment sector, is at the forefront of digital innovation. Our world-class research and innovation laboratories enable us to lead the market in delivering advanced video services to content creators and distributors. We also benefit from an extensive intellectual property portfolio focused on imaging and sound technologies. Our commitment: supporting the delivery of exciting new experiences for consumers in theaters, homes, and on-the-go.

Powering Premium Content
Our award-winning artists and technologists work with the creative community – across film, television, gaming, and advertising– to bring the universal art of storytelling to audiences everywhere.

Unleashing Optimum Access and Interactions
We engineer next-generation home network and video solutions that enable bandwidth-intensive content to be distributed at gigabit speeds and enjoyed seamlessly regardless of place, device or time, in a context-aware environment.

Pushing the Boundaries of Immersive
We drive the conversations, collaborations, and innovations that will make the immersive future a reality by bringing together partners from across the entertainment industry and beyond."	Paris, Ile-de-France	http://www.technicolor.com	Divertissements	10 001 employés et plus	Société cotée en bourse	1915
648	0.0	0.0	0.0	0.0	0.0	0.0	0.0
649	0.0	0.0	0.0	0.0	0.0	0.0	0.0
650	0.0	0.0	0.0	0.0	0.0	0.0	0.0
651	0.0	0.0	0.0	0.0	0.0	0.0	0.0
652	0.0	0.0	0.0	0.0	0.0	0.0	0.0
653	0.0	0.0	0.0	0.0	0.0	0.0	0.0
654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
655	0.0	0.0	0.0	0.0	0.0	0.0	0.0
656	0.0	0.0	0.0	0.0	0.0	0.0	0.0
657	0.0	0.0	0.0	0.0	0.0	0.0	0.0
658	0.0	0.0	0.0	0.0	0.0	0.0	0.0
659	"We are an Outsourcing company specialized in software development and Helpdesk.

In Casablanca office, our teams work on Java/J2EE, Symfony, iOS, and Android SDK. 
In Agadir and Tunis offices, our teams work on CMS integration, and Technical Helpdesk. 
Company is 50+ employees.

We constantly have engineering positions to be filled: Java / JEE, iOS, Android SDK, Symfony, Php front-end / back-end. Also we are looking for Html integrators, CMS, eCommerce specialists, and IT technical support for our Helpdesk teams. We offer optimal working qualities in our offices in Agadir, Casablanca, and Tunis.

ITEK4YOU is present in Dubai (UAE) to be close to its EMEA customers."	Société civile/Société commerciale/Autres types de sociétés	http://itek4you.com	Logiciels informatiques	51-200 employés	2014	Outsourcing, Software Development et Helpdesk
660	SQLI Services IT Company specializing in web development, mobile and customized software. Distinguished by a confirmed quality and assured after-sales service.	Société civile/Société commerciale/Autres types de sociétés	70526334	Technologies et services de l’information	2-10 employés	2013	web development, Mobile apps, Web design, PHP et E-commerce
661	"Entreprise Internationale de Services du Numérique (ESN), présente en Afrique et en Europe, ABSHORE accompagne ses clients sur les domaines du Pilotage de la Performance, de la Transformation Digitale et de la Big Data.

Fondée en 2012, ABSHORE a une expérience riche et variée dans la prestation de service et participe à toutes les phases du projet, de l’étude des besoins jusqu’à la maintenance, en passant par la conception, le développement, le déploiement et l’exploitation.

Implantée en Tunisie et en France, ABSHORE contribue à des projets grand-compte à l’international, et propose ses services aussi bien en offshore qu’en on-site.

Ses capacités de gestion de projets internes ainsi que son respect de normes de qualité très stricts permettent à ABSHORE de garantir des services assurant à ses clients un avantage sur leurs concurrents.

Forts de notre expertise dans le domaine de la transformation de la Donnée, ABSHORE adresse les besoins de ses clients en proposant les solutions les plus adaptées à leurs domaines d’activité pour maitriser les enjeux du digital et en tirer profit de la manière la plus optimale.

La confiance de nos clients et Le talent de nos collaborateurs est la clé de notre succès. Chez ABSHORE nous partageons un ensemble de valeurs qui sont la ligne conductrice de notre activité :

Performance 
Force de travail, Exigence et amélioration continue, Maîtrise et expériences des domaines d’intervention
Excellence 
Résultats mesurables, Retour sur investissement, Apport des meilleures pratiques
Qualité 
Respect des normes internationales, Equipe de tests, Implication des experts garants des livraisons"	les Berges Du lac , Tunis	http://www.abshore.com/?lang=en	Technologies et services de l’information	501-1 000 employés	Société cotée en bourse	2012
662	0.0	0.0	0.0	0.0	0.0	0.0	0.0
663	0.0	0.0	0.0	0.0	0.0	0.0	0.0
664	est un institut tunisien de formation dans le domaine des technologies de l'information et de la communication, particulièrement dans celui du multimédia. Rattaché à l'Université de La Manouba, il est membre de l'Université internationale du multimédia	Tunis, Mannouba	http://www.isa2m.rnu.tn/	Sécurité et enquêtes	51-200 employés	Établissement éducatif	200
665	0.0	0.0	0.0	0.0	0.0	0.0	0.0
666	0.0	0.0	0.0	0.0	0.0	0.0	0.0
667	PROLOG Business Solutions erbjuder innovativa del- och helhetslösningar inom kompetensförsörjning och nanolärande utbildningsplattform. Vi strävar efter att kunna erbjuda de mest tids- och kostnadseffektiva lösningarna på marknaden. Vi har över tio års erfarenhet inom organisationer konsekvent främjat strategiskt och operativt tänkande i arbete med innovativa och flexibla kompetenslösningar, nanolärande utbildningsplattform samtidigt medverkat aktivt i olika team av innovativa idéer som leder till framgång.	2015	http://www.prosolutions.se	Ressources humaines	2-10 employés	0.0	0.0
668	0.0	0.0	0.0	0.0	0.0	0.0	0.0
669	"Créée en 2004, HLi Tunisie, filiale du Groupe HLi France, est spécialisée dans la mise en place des nouvelles technologies digitales et aide ses clients à gagner en performance, à améliorer leur qualité de service et à accroître leur positionnement sur le marché ainsi que leur chiffre d’affaire. 
HLi Tunisie intervient dans des domaines variés tels que les ERP, le CRM, le décisionnel, l’infogérance, le développement d’applications et la tierce maintenance applicative."	Société civile/Société commerciale/Autres types de sociétés	http://www.groupe-hli.com	Technologies et services de l’information	51-200 employés	2004	Transformation Digitale, CRM, Cloud, ERP, Infrastructure et Consulting
670	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671	MT Consulting...  We help Owners prepare and sell their privately held middle market companies.  As mergers and acquisitions specialists and business brokers, we specialize in the sale of multi-site healthcare services and business services firms.  We advise owners on growth opportunities; represent them to qualified buyers; guide them through the sales process. 	Bryn Mawr, PA	http://www.mtbizbrokers.com	Services financiers	2-10 employés	Société civile/Société commerciale/Autres types de sociétés	1992
672	Agée aujourd’hui de plus d’un siècle mais arrivée, en 1971, à la véritable transition, AMEN BANK a pu capitaliser sur une tradition et un professionnalisme bancaires bien ancrés dans le temps. C’est d’ailleurs cette rente de l’histoire qui confère à Amen Bank le privilège de l’aînesse et la distinction de l’âge: un signe de démarcation, s’il en est, dans le paysage bancaire du pays.	Société cotée en bourse	http://www.amenbank.com.tn	Banques	1 001-5 000 employés	1880	0.0
673	0.0	0.0	0.0	0.0	0.0	0.0	0.0
674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
675	"Fogits est une société de service en conseil et ingénierie des systèmes informatiques éco-responsables. Elle propose des formations, des services et une expertise en ingénierie informatique associée à une démarche environnementale. Née d’une forte implication dans la défense de l’environnement et dans la communauté Open Source, Fogits est la première SSII/SSLL Tunisienne spécialisée en Green IT.
Spécialisée dans l'accompagnement des entreprises en création ou en restructuration, nous vous conseillons également pour des missions de toutes durées dans des domaines tels que la gouvernance, l'infrastructure ou la gestion de parc.

Pour répondre à vos besoins, votre informatique générale s'est développée ""dans l'urgence"" de façon parfois anarchique. Fogits se propose de repenser avec vous votre architecture globale et de la faire évoluer vers un modèle éco-optimisé."	ariana, ariana	http://www.fogits.com	Technologies et services de l’information	2-10 employés	Société civile/Société commerciale/Autres types de sociétés	2011
676	0.0	0.0	0.0	0.0	0.0	0.0	0.0
677	0.0	0.0	0.0	0.0	0.0	0.0	0.0
678	"TriTUX est un groupe IT spécialisé dans l'ingénierie logicielle, le développement des systèmes d'information, le conseil en technologie et l'outsourcing.

Fort de son expertise et de son savoir-faire, depuis  sa création en 2006, TriTUX a développé tous les moyens qui lui permettent de mener à bien ses projets de l’amont à l’aval.

Grâce à plus de 11 ans d’expérience en ingénierie logicielle dans plusieurs secteurs: Telecom, financier, industriel, ... TriTUX a déployé une infrastructure solide et des certifications reconnues dans le domaine des nouvelles technologies répondant à toutes les exigences. 

En appliquant les meilleures pratiques des secteurs public et privé du monde entier et en exploitant la technologie innovante, TriTUX  accompagne ses clients tout au long du cycle de vie d’un projet, en commençant par le conseil passant par la réalisation complète de la solution jusqu’au transfert des compétences.

Dans le cadre de l’amélioration continue des compétences de ses équipes, TRITUX choisie minutieusement ses collaborateurs afin d’établir avec ses partenaires et clients une relation de confiance.

Nous offrons des solutions et des services de haute qualité permettant d'assurer au mieux d'une part notre croissance et d'autre part la satisfaction de nos partenaires.

Nos références multiples en Europe et en Afrique nous positionnent comme partenaire stratégique de choix. Parmi celles-ci, figurent notamment ; Tunisie Télécom, Maroc Télécom, Orange, BIAT, Attijari Wafa Bank, Banque Zitouna, Nouvelair, Mattel, Tunisie Leasing, Chinguitel, l'ISIE, Cellcom, Delice Danone,…"	Société civile/Société commerciale/Autres types de sociétés	http://www.tritux.com	Logiciels informatiques	51-200 employés	2006	Mobile banking Mobile payment Mobile messaging & socialization, Solutions VOIP Applications à fort trafic, Business intelligence Data integration, Webservices & SOA avec red hat JBoss et Outsourcing
679	0.0	0.0	0.0	201-500 employés	"119 sur LinkedIn
Inclut des membres avec Horizon Services comme employeur actuel, y compris les postes à temps partiel."	0.0	0.0
680	0.0	0.0	0.0	0.0	0.0	0.0	0.0
681	0.0	0.0	0.0	0.0	0.0	0.0	0.0
682	"Airware is the leading enterprise drone analytics company helping enterprises leverage today’s rapidly advancing technologies (such as drones, cloud computing, machine learning and more) to safely see and sense their sites and structures to improve productivity, mitigate risks, and take workers out of harm’s way. 

Effective Friday, September 14th Airware has ceased operations: https://www.airware.com/en/blog/thank-you-farewell/"	San Francisco, California	http://www.airware.com	Automatismes industriels	51-200 employés	Société civile/Société commerciale/Autres types de sociétés	2011
683	0.0	0.0	0.0	0.0	0.0	0.0	0.0
684	"Air France | France is in the air

Founded in 1933, Air France is a founding Member of SkyTeam. Air France is always pursuing an ongoing policy focused on quality and innovation. Tailoring products and services to customers’ expectations is one of the most important challenges of Air France. Our efforts have led to major overhauls, such as the introduction of the New Travel Concept on long-haul flights, in particular with the new cabin layout in La Première (First Class), Affaires (Business Class), Premium Voyageur (Premium Economy) and Voyageur (Economy) cabins, along with significant changes to medium-haul flights.

A Powerful International Network

Air France operates 2,074 daily flights with a mainline fleet of 262 aircraft and 160 related carriers’ aircraft. Almost 90% of all Air France's long-haul routes are nonstop. The company's medium-haul network is distinguished by a large number of destinations and frequencies (an average of almost 6 daily flights per destination).

The Air France hub at Roissy-Charles-de-Gaulle is recognized as being one of the most efficient and competitive in Europe. The company offers 20,500 weekly connecting opportunities between long-haul and medium-haul flights, which is more than can be offered in London or Frankfurt.

More info : http://corporate.airfrance.com"	Société civile/Société commerciale/Autres types de sociétés	http://www.airfrance.com	Compagnie aérienne/Aviation	10 001 employés et plus	1933	passenger operations, cargo (freight transport) et maintenance (aircraft repair and maintenance)
685	"Phenix est la startup leader de la lutte contre le gaspillage en Europe, avec plus de 50 millions de repas sauvés depuis son lancement grâce à son réseau de professionnels et citoyens engagés.

Déterminés à bâtir un monde sans gaspillage, les 130 coaches antigaspi Phenix imaginent et mettent en œuvre des solutions innovantes pour que les invendus (alimentaires et non-alimentaires) ne deviennent jamais des déchets.

Dernière née chez Phenix, l'application mobile, qui permet aux citoyens d’agir concrètement contre le gaspillage en achetant à prix réduit les invendus des commerçants."	Paris, Île-de-France	http://www.wearephenix.com	Services pour l’environnement	51-200 employés	Société civile/Société commerciale/Autres types de sociétés	2014
686	0.0	0.0	0.0	0.0	0.0	0.0	0.0
687	0.0	0.0	http://www.dartech.nl	Construction	0.0	0.0	0.0
688	0.0	0.0	0.0	0.0	0.0	0.0	0.0
689	0.0	0.0	0.0	0.0	0.0	0.0	0.0
690	0.0	0.0	0.0	0.0	0.0	0.0	0.0
691	0.0	0.0	0.0	0.0	0.0	0.0	0.0
692	0.0	0.0	0.0	0.0	0.0	0.0	0.0
693	0.0	0.0	0.0	0.0	0.0	0.0	0.0
694	"Historiquement Equalios propose des services de consulting « MOA » / « Métier » et des réalisations de projets au forfait, essentiellement dans le domaine règlementaire pour les activités de « Private Banking », « Wealth Management » et « Asset Management ». 
Face à la « vague règlementaire », la volumétrie des données et les risques à gérer, il nous est apparu que de nouvelles approches sont nécessaires pour adresser ces sujets.  L’essor des nouvelles technologies s’est imposé à nous comme une évidence pour transformer une contrainte en une opportunité source de valeur pour les clients. 

Aujourd’hui et demain  
En complément de nos activités historique, en 2015 nous avons commencé à travailler sur l’application des nouvelles technologies (Big-Data, Intelligence Artificielle, Analyse Sémantique) au domaine réglementaire. Notre objectif est de créer une solution logicielle s’inscrivant dans la mouvance des « Reg Tech » (Regulatory Technologies). Notre solution « Centaure » que nous avons commencé à construire et commercialiser, adresse dans un 1er temps les problématiques KYC/AML, au sens le plus large.

Pourquoi nous rejoindre
Des nombreux clients nous font déjà confiance dont le leader mondial de la Gestion Privée et Gestion de Fortune.
Vous évoluez dans un environnement motivant encadré par une équipe de management composée d'experts métiers ayant une double compétence métiers et Informatique. Tous reconnus dans leurs domaines d’activités : « Private Banking », réglementations bancaires et nouvelles technologies (Big Data, Intelligence Artificielle, Machine Learning et Analyse Sémantique) les équipes de management d’Equalios vous apporterons tous le support et l’accompagnement qui vous permettrons d’évoluer sur les nouveaux standards qui s’imposent aujourd’hui."	Neuilly-sur-Seine, Île-de-France	http://www.equalios.com	Technologies et services de l’information	11-50 employés	Société civile/Société commerciale/Autres types de sociétés	2012
695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696	La Junior Entreprise INSAT est un club à but non lucratif fondé en 2005 et a rejoint la Confédération Nationale des Juniors Entreprises JET en 2012. La mission de la Junior Entreprise INSAT est de former les différents étudiants dans le domaine de l'entreprenariat et leur faciliter de ce fait l'intégration dans la vie professionnelle. Les principales compétences de la Junior Entreprise INSAT tournent principalement autour du développement Web, du développement mobile et du référencement.	Centre Urbain Nord, Tunis	http://juniorinsat.tn/	Technologies et services de l’information	51-200 employés	Non lucratif	0.0
697	0.0	0.0	0.0	0.0	0.0	0.0	0.0
698	Altran est le leader mondial incontesté des services d’ingénierie et de R&D. Le Groupe offre à ses clients une proposition de valeur unique pour relever leurs défis de transformation et d’innovation. Altran accompagne ses clients, du concept à l’industrialisation, pour développer les produits et les services de demain. Altran intervient depuis plus de 35 ans auprès des grands acteurs de nombreux secteurs : Automobile, Aéronautique, Spatial, Défense & Naval, Rail, Infrastructure & Transport, Industrie & Biens de consommation, Sciences de la vie, Communications, Semiconducteur & Electronique, Logiciel & Internet, Finance & Secteur Public. En 2019, Capgemini et Altran ont annoncé un projet de rapprochement dans le cadre d’une offre publique d’achat amicale pour créer un leader mondial de l’ « Intelligent Industry ». Altran a généré 3,2 milliards d’euros de chiffre d’affaires en 2019, avec plus de 50 000 employés dans plus dans 30 pays. 	Société cotée en bourse	http://www.altran.com	Technologies et services de l’information	10 001 employés et plus	1982	Engineering and R&D Services, Energy, Aeronautics, Automotive, Space, Defense & Naval, Telecoms & Media, Rail, Infrastructure & Transportation, Industrials & Electronics, Life Sciences, Finance & Public Sector, Consulting, Engineering, Semiconductor, Digital Experience et Design Innovation
699	The Montpellier Laboratory of Computer Science, Robotics, and Microelectronics (LIRMM in French...) is a cross-faculty research entity of the University of Montpellier 2 (UM2) and the National Center for Scientific Research (CNRS) - Department of Information and Engineering Sciences and Technologies.	Établissement éducatif	http://www.lirmm.fr	Études/recherche	201-500 employés	computer science, robotics et microelectronics	0.0
700	0.0	0.0	0.0	0.0	0.0	0.0	0.0
701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
702	0.0	0.0	0.0	0.0	0.0	0.0	0.0
703	"Bobbli is an app that allows viewers to instantly discover and buy products they see in film and TV. 
The focus of the company is to deliver the most non-invasive experience to viewers and create substantial revenue streams for content creators."	Société civile/Société commerciale/Autres types de sociétés	http://www.bobbli.com	Divertissements	2-10 employés	Video content monetization, New media, Mobile Applications/Web et Advertising/e-commerce	0.0
704	0.0	0.0	0.0	0.0	0.0	0.0	0.0
705	BISS, Business Intelligence Software Solutions Société anonyme spécialisée dans l'ingénierie informatique.	Société civile/Société commerciale/Autres types de sociétés	http://www.bisstn.com	Technologies et services de l’information	2-10 employés	2012	0.0
706	0.0	0.0	0.0	0.0	0.0	0.0	0.0
707	"Established in 1973, Qatar University (QU), the State of Qatar’s first higher education institution, seeks to become a model national university in the Middle East region, recognized for high quality education and research, and for being a leader of economic and social development. The organization has produced over 35,000 graduates, among which are many leading figures in government and the public and private sector. 

From its beginnings as one college – the College of Education -- QU now has ten colleges offering over 86 academic programs, of which 31 are postgraduate. These programs are aligned with societal and labor market needs and are in line with the goals and values expressed in Qatar National Vision 2030 and the national development strategies. Today, QU is the fastest growing university in research in the Arab region, with a dedicated Research Complex, 14 research centers of excellence, and an ambitious 5-year roadmap fielding critical national priority issues."	"3 224 sur LinkedIn
Inclut des membres avec Qatar University comme employeur actuel, y compris les postes à temps partiel."	http://www.qu.edu.qa/	"(+974)4403-4444
Le numéro de téléphone est le (+974)4403-4444"	Enseignement supérieur	Établissement éducatif	1973
708	0.0	0.0	0.0	0.0	0.0	0.0	0.0
709	"Gexpertise is a multi-discipline company of professional surveyors and property consultants with a DNA that goes back to 1785. 

Established in France, Gexpertise is in the top 6 largest players on the market with five offices in France, an international office in Tunisia and an exhaustive network of partners and certified subcontractors."	"156 sur LinkedIn
Inclut des membres avec Gexpertise comme employeur actuel, y compris les postes à temps partiel."	http://www.gexpertise.com	"0033 1 46 26 14 23
Le numéro de téléphone est le 0033 1 46 26 14 23"	Immobilier	Sèvres, Ile de France	Société civile/Société commerciale/Autres types de sociétés
710	0.0	0.0	0.0	0.0	0.0	0.0	0.0
711	"Depuis sa création, Bouygues Telecom propose des forfaits, des box et des solutions pour mettre la révolution numérique à la portée de tous. 4G box, pilote 5G, réseau LoRa dédié aux objets connectés… L’innovation est au cœur de notre ADN ! 

Nos 8 000 collaborateurs relèvent tous ensemble au quotidien ce même défi : proposer l’expérience client la plus simple et enthousiasmante qui soit, en privilégiant l’accueil, le service et l’accompagnement. 

💼 Nos métiers ? 
Quelles que soient vos aspirations il y aura forcément un métier pour vous chez Bouygues Telecom ! Au sein de nos 13 filières, 120 métiers interagissent tous les jours : Télécom / Réseau, IT, Big Data, Innovation, Marketing, Commerce, Finance, Achats, Juridique… Nous avons besoin de tous les talents pour accomplir notre mission; car c’est cette richesse de profils et de compétences qui fait la qualité de nos services et contribue à la satisfaction de nos clients. 

🤝Ce qui fait notre singularité ? 
Une culture d’entreprise où la qualité des relations humaines fait partie de notre ADN : et ce sont nos équipes (bientôt la vôtre ?) qui le disent. Vous hésitez encore ? Vous ne douterez plus quand vous aurez découvert notre Technopôle, un véritable lieu de vie qui vous permettra d’expérimenter un life model d’exception avec une multitude de services de proximité : conciergerie, services de livraison, pressing, marché de Noël, commerçants ; mais aussi des salles de sport, babyfoot, tables de ping-pong, coiffeur, cosy-room...

👉Alors si...
Vous avez envie de mettre votre talent au service de la technologie et booster les usages digitaux de milliers de français : vous frappez à la bonne porte.
Vous voulez partager avec des experts aussi passionnés que vous et voir vos idées prendre vie : vous êtes au bon endroit.
Vous rêvez d’une entreprise qui donne le meilleur d’elle-même pour que vous puissiez donner le meilleur à votre tour : alors bienvenue !
 
#onestfaitpouretreensemble"	Société civile/Société commerciale/Autres types de sociétés	http://www.jobs.bouyguestelecom.fr	Télécommunications	5 001-10 000 employés	1994	Télécommunications et Internet
712	0.0	0.0	0.0	0.0	0.0	0.0	0.0
713	0.0	0.0	0.0	0.0	0.0	0.0	0.0
714	"ARIATIS SOLUTIONS est une ESN dédiée à la qualité et à la performance des Systèmes d’information. Nous avons développé deux domaines d’expertise : l’industrialisation des pratiques de test et l’automatisation des processus métier, au travers du RPA.

Notre Offre Testing constitue une réponse aux principaux défis auxquels sont confrontés nos clients. Parmi lesquels, l’émergence des méthodes agiles et la nécessaire adaptation des pratiques et de l’outillage de test, ou encore la déclinaison croissante des applicatifs sur supports mobiles avec comme corollaire le besoin d’une stratégie pertinente pour parvenir au « tester juste».

La digitalisation des processus permet aux entreprises de réussir leur transformation digitale dans les meilleures conditions. Cependant, il demeure des tâches administratives, souvent manuelles, qui freinent les organisations dans leur recherche de performance. C’est dans ce contexte, que le RPA (Robotic Process Automation) apporte une réponse et permet de dégager de réels gains de productivité. "	Société civile/Société commerciale/Autres types de sociétés	http://www.ariatis-solutions.fr/	Technologies et services de l’information	2-10 employés	2018	0.0
715	0.0	0.0	0.0	0.0	0.0	0.0	0.0
716	0.0	0.0	0.0	0.0	0.0	0.0	0.0
717	0.0	0.0	0.0	0.0	0.0	0.0	0.0
718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
719	"Créé en 1990, le Groupe Exane figure parmi les principaux acteurs indépendants de la Finance de Marché en Europe. Il intervient sur 3 métiers : 
- l'Intermédiation Actions : sous la marque Exane BNP Paribas, le Groupe propose à une clientèle institutionnelle des services incluant la recherche, la vente et l’exécution sur les actions européennes ;
- les Dérivés : Exane Derivatives a développé une gamme complète de produits en s'appuyant sur des capacités allant de la conception à l'exécution : brokerage et market making sur options et futures, intermédiation obligations convertibles, conception de solutions d'investissement « cross-asset » ;
- l'Asset Management : la gestion d'actifs du Groupe Exane est incarnée par ses 3 sociétés de gestion, Exane asset management, Ellipsis AM et Ixios Asset Management, spécialisées respectivement sur l'univers des actions et des obligations, ainsi que sur la gestion thématique.

Depuis près de 30 ans, Exane se développe à travers 3 fondamentaux : le monde de l’Equity, l’expertise en Investissement (trading et asset management) et la qualité de la Recherche actions et dérivés. Ces fondamentaux, piliers du business model, sont associés à 3 valeurs fortes qui ont façonné la culture d’Exane depuis sa création : Exigence, Indépendance et Engagement. 

Les 900 collaborateurs du Groupe sont répartis sur 9 sites : Paris, Londres, Francfort, Genève, Madrid, Milan, Stockholm, New York, et San Francisco ; Paris et Londres étant les principales implantations. 

Depuis 2004, l'Intermédiation Actions est au cœur du partenariat qui lie Exane à BNP Paribas, BNP Paribas ayant confié à Exane l'exclusivité de cette activité sur les actions européennes."	Paris, Paris	http://www.exane.com	Services d’investissement	501-1 000 employés	Société civile/Société commerciale/Autres types de sociétés	1990
720	"Q3 Advocacy est la première plateforme SaaS qui automatise la détection et l’activation de vos Customer Advocates.

Notre particularité est de détecter vos clients satisfaits à partir de votre base de données et de les convertir automatiquement en clients prescripteurs, ces clients que l’on appelle Brand Advocates.
 
La méthodologie unique intègre des leviers traditionnels du bouche à oreille comme la gestion des avis clients ou le parrainage, des leviers plus innovants comme les plateformes de dialogue « peer to peer », mais également des leviers traditionnellement exclus du périmètre du marketing du bouche à oreille : la satisfaction client et le co-marketing."	Marseille, France	http://www.q3-advocacy.com	Logiciels informatiques	11-50 employés	Société de personnes (associés)	2013
721	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723	0.0	0.0	0.0	0.0	0.0	0.0	0.0
724	"W-HA a été créé en 2000 pour accompagner la valorisation des services sur internet fixe et mobile, il est à l’origine de la mise en place des systèmes de « kiosques multi-opérateurs » permettant aux éditeurs de service d’être rémunérés par le moyen de la facture opérateur : Internet+ box et mobile, SMS+.

Aujourd’hui un des leaders européens du paiement sur facture opérateur, W-HA a également développé sa plateforme de paiement en incluant de nombreuses technologies additionnelles dans les domaines du prépayé, de la monnaie électronique et de la monétique de proximité ou en ligne. W-HA est notamment membre du GIE Cartes Bancaires et adhérent Visa/Mastercard.

Pour proposer ses services dans le cadre de la réglementation bancaire et financière, W-HA est agréé en tant qu’Etablissement de Monnaie Electronique. W-HA, filiale à 100% d’Orange, est une Société Anonyme au capital de 10 008 000 €."	Boulogne-Billancourt, France	https://www.w-ha.com	Technologies et services de l’information	51-200 employés	Société civile/Société commerciale/Autres types de sociétés	2000
725	"Edatis opère depuis 2000 dans le domaine de l’e-marketing en présentant aux TPE/PME des solutions en mode SaaS initialement dédiées aux grands comptes.

Edatis se positionne en tant que éditeur de solutions Marketing en ligne et expert technologique en Emailing et Data Marketing.

Après Xeomail et Xeofolio, plateformes dédiées à l’Email Marketing et à la Créa Mobile, Edatis lance Xeodata, l’outil BI qui centralise des données multi-sources et permet une exploitation optimale à travers des tableaux de bord décisionnels et des actions marketing ROIstes.

Edatis est une entreprise à taille humaine qui apporte à ses clients des solutions métier innovantes à budget abordable."	Société civile/Société commerciale/Autres types de sociétés	http://www.edatis.com	Internet	51-200 employés	2000	Emailing, Email Marketing, Crée Responsive, Big Data, Data Management et Business Intelligence
726	"Banque de l’Habitat was established as a Lebanese joint-stock company by virtue of decree No 14 dated 10/1/1977 amended by the law No.283. It is a mixed company between the Lebanese Government and the Private Sector (Bank’s, insurance companies, individual investor). Its total paid up Capital was set up to 50 Billion LBP (80% owned by the private sector & 20% by the public sector). Banque de l’Habitat is a member of the Association of Banks in Lebanon and it appears on the list of Banks under No 41. Ever since its establishment, the Bank complies with the Collective Labor Agreement rules & conditions.

Banque de l’Habitat grants long-term housing loans in Lebanese Pounds, and manages the portfolio of Foreign Worker’s Certificates of Deposit as per decree No 283 dated 30/8/1993.

The Bank’s main mission is to lend individuals especially those who have limited or average income, in order to buy a house, build their own, renovate it accomplish it, expand it, or ameliorate it, as well as to finance the housing cooperatives. 

Banque de l’Habitat manages public & private funds that aim particularly at financing operations of housing loans, especially those that form a benefit for categories specified in the housing law, provided that it takes into consideration the loaner’s terms, if there are any. 

Banque de L’Habitat grants long term Housing loans to all Lebanese citizens whether resident or not. The main characteristics of a housing loan at Banque de L’Habitat are as follows: 

1. The maximum loan amount is /800,000,000/LBP.
2. The interest rate is fixed throughout the loan period.
3. Housing Loans approval are generally granted within 24 hours from the Interview date & are open to all Lebanese citizens, whether working in Lebanon or abroad.
4. Housing loans contracted by Banque de L’Habitat customers are exempted from real estate mortgage fees whenever the mortgage is registered & or lifted."	Société civile/Société commerciale/Autres types de sociétés	http://www.banque-habitat.com.lb	Banques	51-200 employés	1977	Housing Loans et Certificate of Deposit
